0,18.04826717,55.76581089,76.24831064
0.01472449,16.29898791,53.7726947,73.45310036
0.02944898,24.71334953,51.50427953,71.19911245
0.044173469,42.95714088,49.09168067,69.56640936
0.058897959,58.74069739,46.66601341,68.63505351
0.073622449,69.61675891,44.35839303,68.48510732
0.088346939,76.60921288,42.29993484,69.19663321
0.103071429,80.70967487,40.59832367,70.81843385
0.117795918,82.70654613,39.22073742,73.2087558
0.132520408,83.3132818,38.08214301,76.15377793
0.147244898,83.24321601,37.09741805,79.43953459
0.161969388,83.20968293,36.18144015,82.85206014
0.176693878,83.92601671,35.24908688,86.17738896
0.191418367,85.97420598,34.22215083,89.21633249
0.206142857,88.78867562,33.08426814,91.89701612
0.220867347,91.21048824,31.8516471,94.2126841
0.235591837,92.18634248,30.54078836,96.15711227
0.250316327,91.97562706,29.16819261,97.72407647
0.265040816,91.6988766,27.75036052,98.90735257
0.279765306,92.31539628,26.30795431,99.70071641
0.294489796,92.35207613,24.91396639,100.0979438
0.309214286,88.5585045,23.67712722,100.0928107
0.323938776,77.87189907,22.70685836,99.67909283
0.338663265,61.28361666,22.11258136,98.85056609
0.353387755,43.2706512,22.00371777,97.60100634
0.368112245,28.29248633,22.48739042,95.92785341
0.382836735,18.10049155,23.62621432,93.90663409
0.397561224,11.90013787,25.44262111,91.68779781
0.412285714,8.798007452,27.95306774,89.42482386
0.427010204,7.900682441,31.02735569,87.27119154
0.441734694,8.314744996,34.36038402,85.38038014
0.456459184,9.155959994,37.63822619,83.9033471
0.471183673,9.907369307,40.61314446,82.88699963
0.485908163,10.53652432,43.13110629,82.23841326
0.500632653,11.04423346,45.0463776,81.85473997
0.515357143,11.43130514,46.29152856,81.63313177
0.530081633,11.69854777,46.92725497,81.47074064
0.544806122,11.8468877,47.02632198,81.26513994
0.559530612,11.88832905,46.68347187,80.95240139
0.574255102,11.85490223,46.03452612,80.53776018
0.588979592,11.78074719,45.21981188,80.03369401
0.603704082,11.70000392,44.37965627,79.4526806
0.618428571,11.64681237,43.65438644,78.80719767
0.633153061,11.65531252,43.18432951,78.10972291
0.647877551,11.75964433,43.10981263,77.37273406
0.662602041,11.99394778,43.57116292,76.60870881
0.677326531,12.39236283,44.70870752,75.83012489
0.69205102,12.98902944,46.66277356,75.04946
0.70677551,13.81808759,49.57368819,74.27919185
0.7215,14.91367725,53.58177853,73.53179817
