t (ms), vlv (ml), plv (mmHg), part (mmHg)
0.000000000000000000e+00,1.740595525999999893e+02,1.682952038999999900e+01,6.994707307999999557e+01
1.632653104614641393e+01,1.794897257000000081e+02,1.437901564999999948e+01,6.724722264999999766e+01
3.265306112587582277e+01,1.815263890999999887e+02,2.553208333999999979e+01,6.567687162999999373e+01
4.897959217202222248e+01,1.793196320000000128e+02,4.119771297999999859e+01,6.512474661999999626e+01
6.530612225175164554e+01,1.738020526999999902e+02,5.364613681000000156e+01,6.547544249000000605e+01
8.163265329789804525e+01,1.690954618000000096e+02,6.185183845000000247e+01,6.659170358000000078e+01
9.795918337762743988e+01,1.670346231999999986e+02,6.685027383000000611e+01,6.832907776000000410e+01
1.142857144237738680e+02,1.651667121000000122e+02,6.962012565000000563e+01,7.053141248999999391e+01
1.306122445035032911e+02,1.628020228000000031e+02,7.079126508999999601e+01,7.297369804999999587e+01
1.469387755496497050e+02,1.600444287999999915e+02,7.086228588999999545e+01,7.540577828000000693e+01
1.632653065957960905e+02,1.569992379999999912e+02,7.033153982999999698e+01,7.759837412999999628e+01
1.795918366755254851e+02,1.537717584000000102e+02,6.969737868999999364e+01,7.948477481000000466e+01
1.959183677216718991e+02,1.504672980999999936e+02,6.945815423999999894e+01,8.107454375999999741e+01
2.122448978014012653e+02,1.471902336999999932e+02,7.004091653000000406e+01,8.237726734999999678e+01
2.285714288475477360e+02,1.440375454999999931e+02,7.124008071999999459e+01,8.340052230000000577e+01
2.448979589272771591e+02,1.411027038999999945e+02,7.251836244999999792e+01,8.415159737000000462e+01
2.612244899734234878e+02,1.384791591999999980e+02,7.336097096999999678e+01,8.463780316000000425e+01
2.775510200531529108e+02,1.362603617000000042e+02,7.353934734000000617e+01,8.486645027000000141e+01
2.938775510992994100e+02,1.345397617000000139e+02,7.300553164000000095e+01,8.484484928999999909e+01
3.102040811790287762e+02,1.334147891000000072e+02,7.163516035000000670e+01,8.458194188999999596e+01
3.265306122251751617e+02,1.330413207999999941e+02,6.814631283999999312e+01,8.410828843000000177e+01
3.428571432713216041e+02,1.336198689000000002e+02,6.037744680000000130e+01,8.346979910999999674e+01
3.591836733510509703e+02,1.353081378999999913e+02,4.643378255999999737e+01,8.271292522999999619e+01
3.755102043971974126e+02,1.374130509999999958e+02,3.004077788000000027e+01,8.188760139999999410e+01
3.918367344769268357e+02,1.387120170000000030e+02,1.812486562000000134e+01,8.104659436999999400e+01
4.081632655230731643e+02,1.389790901000000076e+02,1.052537934000000064e+01,8.024139578000000483e+01
4.244897956028025305e+02,1.397953085000000044e+02,5.984750358000000325e+00,7.949511896999999294e+01
4.408163266489490297e+02,1.435707107000000065e+02,3.865504894999999941e+00,7.880393216999999595e+01
4.571428567286784528e+02,1.496226763999999889e+02,3.555794366000000206e+00,7.816293496000000118e+01
4.734693877748248383e+02,1.554373247999999990e+02,4.443770184999999984e+00,7.756722688000000687e+01
4.897959188209712806e+02,1.581797492000000034e+02,5.917583768000000077e+00,7.701190748999999869e+01
5.061224489007006468e+02,1.592391110000000083e+02,7.371346503999999911e+00,7.649207635000000494e+01
5.224489799468469755e+02,1.603703979000000004e+02,8.467319012000000811e+00,7.600283301000000336e+01
5.387755100265765122e+02,1.617252908000000104e+02,9.240062829999999394e+00,7.553927702999999383e+01
5.551020410727228409e+02,1.633366564000000096e+02,9.751691242999999787e+00,7.509650797000000466e+01
5.714285711524522640e+02,1.651110644999999977e+02,1.006431753999999934e+01,7.466962537999999938e+01
5.877551021985988200e+02,1.667409222999999940e+02,1.024005499000000086e+01,7.425372882000000629e+01
6.040816322783281294e+02,1.678992170999999871e+02,1.034084900000000040e+01,7.384391784999999686e+01
6.204081633244744580e+02,1.684232408000000021e+02,1.041285706999999938e+01,7.343529202000000566e+01
6.367346934042039948e+02,1.684537989000000096e+02,1.047366427000000044e+01,7.302295087999999623e+01
6.530612244503503234e+02,1.681652315999999985e+02,1.053783987999999994e+01,7.260199400999999853e+01
6.693877554964966521e+02,1.678236521000000039e+02,1.061995317000000050e+01,7.216752094000000284e+01
6.857142855762261888e+02,1.678802986000000033e+02,1.073457338999999955e+01,7.171463124000000278e+01
7.020408166223725175e+02,1.688079188000000102e+02,1.089626980999999972e+01,7.123842446000000450e+01
7.183673467021019405e+02,1.707963724999999897e+02,1.111961170000000010e+01,7.073400015999999368e+01
7.346938777482483829e+02,1.733246198999999876e+02,1.141916834000000058e+01,7.019645789999999863e+01
7.510204078279778059e+02,1.757614178999999979e+02,1.180950898000000038e+01,6.962089724000000501e+01
7.673469388741241346e+02,1.774475777000000107e+02,1.230520287999999951e+01,6.900241771999999685e+01
7.836734689538536713e+02,1.776172227000000134e+02,1.292081933000000049e+01,6.833611890999999616e+01
8.000000000000000000e+02,1.754799615000000017e+02,1.367092758000000075e+01,6.761710035999999491e+01
