t (ms), vlv (ml), plv (mmHg), part (mmHg)
0.000000000000000000e+00,8.932999999999999829e+01,1.945810340999999966e+01
4.090657822001105615e+00,8.951999999999999602e+01,2.307194712269112458e+01
8.195135433941405978e+00,8.971999999999999886e+01,2.669799976684404541e+01
1.228579325594250982e+01,8.993000000000000682e+01,3.031184347953517033e+01
1.637645107794361721e+01,9.009999999999999432e+01,3.404418585740981484e+01
2.048092868988391402e+01,9.023000000000000398e+01,4.741336002293564889e+01
2.457158651188501963e+01,9.029000000000000625e+01,6.073752013403211691e+01
2.866224433388612880e+01,9.025000000000000000e+01,7.406168024512859915e+01
3.276672194582641851e+01,9.009000000000000341e+01,8.740049741300708774e+01
3.685737976782753123e+01,8.979000000000000625e+01,9.963210827447021245e+01
4.096185737976782804e+01,8.932999999999999829e+01,1.119050421456004187e+02
4.723604201216141973e+01,8.867000000000000171e+01,1.306656885344661418e+02
5.352404643449419552e+01,8.781000000000000227e+01,1.343738839677497197e+02
5.979823106688779433e+01,8.681000000000000227e+01,1.322956964301614846e+02
6.608623548922057012e+01,8.570999999999999375e+01,1.301156254917923718e+02
7.236042012161415471e+01,8.454000000000000625e+01,1.272548399202806308e+02
7.864842454394693050e+01,8.334000000000000341e+01,1.243877530589637956e+02
8.492260917634052930e+01,8.217000000000000171e+01,1.233201410725160372e+02
9.121061359867330509e+01,8.104999999999999716e+01,1.238802988911559311e+02
9.748479823106690390e+01,8.004000000000000625e+01,1.244392255937109013e+02
1.037728026533996797e+02,7.918000000000000682e+01,1.253856129530998658e+02
1.078634604754007853e+02,7.848000000000000398e+01,1.260217873879467447e+02
1.119541182974018909e+02,7.792000000000000171e+01,1.266579618227936237e+02
1.160585959093421735e+02,7.746999999999999886e+01,1.271766351305197134e+02
1.201492537313433075e+02,7.709000000000000341e+01,1.275367343047366120e+02
1.242399115533443990e+02,7.676000000000000512e+01,1.278968334789535248e+02
1.283443891652846958e+02,7.643000000000000682e+01,1.282581492044346589e+02
1.324350469872858014e+02,7.606999999999999318e+01,1.285176540560810565e+02
1.365257048092869070e+02,7.565000000000000568e+01,1.286520036398502498e+02
1.406301824212272322e+02,7.514000000000000057e+01,1.287868071073483804e+02
1.447208402432283094e+02,7.451000000000000512e+01,1.289211566911175737e+02
1.488114980652294150e+02,7.373000000000000398e+01,1.289757957116326850e+02
1.529159756771697118e+02,7.284999999999999432e+01,1.289358961878691900e+02
1.570066334991708459e+02,7.187999999999999545e+01,1.288961310059365530e+02
1.611111111111111427e+02,7.084000000000000341e+01,1.288562314821730581e+02
1.652017689331122199e+02,6.976000000000000512e+01,1.287584859541173330e+02
