t (ms),vlv (ml),plv (mmHg),pao (mmHg)
4.142117479,123.38,7.135813362,92.13883632
8.427066595,123.32,6.869676478,91.80436418
12.69773255,123.22,6.877611941,91.47467103
16.98268166,123.09,7.143592781,91.14992456
21.25334762,122.92,7.65159203,90.83029251
25.53829673,122.73,8.385582718,90.51594259
29.80896269,122.49,9.329537876,90.20704251
34.0939118,122.22,10.46743053,89.90376
38.37886092,121.92,11.78323494,89.60626276
42.64952687,121.58,13.26094172,89.31471852
46.93447599,121.2,14.88455322,89.02929499
51.20514194,120.8,16.63807206,88.75015989
55.49009106,120.36,18.50548441,88.47748093
59.76075701,119.9,20.47069799,88.21142584
64.04570612,119.42,22.51759709,87.95216233
68.31637208,118.91,24.63006722,87.69985812
72.60132119,118.38,26.79213505,87.45468092
76.87198715,117.82,28.98809791,87.21679845
81.15693626,117.25,31.20228379,86.98637842
85.42760221,116.66,33.41897003,86.76358855
89.71255133,116.05,35.62157179,86.54859654
93.98321728,115.42,37.79278286,86.34157016
98.2681664,114.79,39.91527477,86.14267712
102.5388324,114.14,41.97360638,85.95208515
106.8237815,113.48,43.96312708,85.76996193
111.0944474,112.82,45.88301486,85.59647509
115.3793965,112.15,47.73245572,85.43179228
119.6500625,111.48,49.51141106,85.27608124
123.9350116,110.8,51.22159423,85.12950992
128.2056776,110.12,52.86495907,84.99224633
132.4906267,109.45,54.44344349,84.8644584
136.7612926,108.77,55.95863453,84.74631349
141.0462417,108.1,57.41177663,84.63797832
145.3311909,107.44,58.80409999,84.53961961
149.6018568,106.79,60.13685293,84.45140451
153.8868059,106.16,61.41140836,84.37350321
158.1574719,105.53,62.62919161,84.30608719
162.442421,104.93,63.79162812,84.2493279
166.7130869,104.35,64.90012938,84.20339251
170.9980361,103.78,65.9560695,84.1684366
175.268702,103.22,66.96081643,84.14461386
179.5536511,102.67,67.91573865,84.132079
183.8243171,102.13,68.82222022,84.13101641
188.1092662,101.59,69.68166299,84.14164432
192.3799322,101.05,70.49546978,84.16418279
196.6648813,100.52,71.26503259,84.19881793
200.9355472,99.97,71.99165367,84.24545329
205.2204963,99.43,72.67659076,84.30385234
209.4911623,98.88,73.32110126,84.37377757
213.7761114,98.33,73.92643252,84.45495968
218.0467774,97.78,74.49379988,84.54702848
222.3317265,97.24,75.02441234,84.64959383
226.6023924,96.69,75.51947902,84.76226595
230.8873415,96.14,75.98021397,84.8846707
235.1580075,95.6,76.40783776,85.01645467
239.4429566,95.05,76.80357144,85.15726591
243.7136226,94.51,77.16863584,85.30675188
247.9985717,93.97,77.50424994,85.46455396
252.2835208,93.43,77.81163164,85.63030999
256.5541868,92.89,78.0919988,85.80365781
260.8391359,92.36,78.34656941,85.98423568
265.1098018,91.84,78.57656186,86.17168375
269.3947509,91.32,78.78319461,86.36564256
273.6654169,90.82,78.96768615,86.56575267
277.950366,90.32,79.13125523,86.77165435
282.221032,89.83,79.27512105,86.98298745
286.5059811,89.36,79.40050284,87.19939177
290.776647,88.9,79.50861964,87.42050715
295.0615961,88.46,79.6006885,87.64597353
299.3322621,88.03,79.67792509,87.87543096
303.6172112,87.62,79.74154504,88.10851948
307.8878772,87.22,79.79276599,88.34487913
312.1728263,86.84,79.83281462,88.58414977
316.4434922,86.48,79.86292018,88.82597125
320.7284413,86.15,79.88431173,89.0699834
324.9991073,85.83,79.89820157,89.31582626
329.2840564,85.54,79.90577134,89.56314023
333.5547224,85.27,79.90819946,89.81156577
337.8396715,85.02,79.9066707,90.06074323
342.1103374,84.8,79.90247063,90.31031181
346.3952866,84.6,79.89696516,90.55990978
350.6659525,84.42,79.89152246,90.80917537
354.9509016,84.27,79.88742458,91.05774783
359.2358507,84.15,79.88548815,91.30527179
363.5065167,84.05,79.88637326,91.55139368
367.7914658,83.98,79.89074419,91.7957599
372.0621318,83.95,79.90003584,92.03800792
376.3470809,83.94,79.91733713,92.27775604
380.6177468,83.97,79.94595104,92.51462009
384.9026959,84.02,79.98886496,92.74821951
389.1733619,84.1,80.0426657,92.97824716
393.458311,84.19,80.09798266,93.20446424
397.728977,84.29,80.14521838,93.42663452
402.0139261,84.41,80.17370419,93.64453513
406.284592,84.53,80.16582209,93.85802966
410.5695412,84.65,80.10118156,94.06701618
414.8402071,84.77,79.95938567,94.27139285
419.1251562,84.89,79.72037804,94.47105042
423.3958222,85.01,79.3649658,94.66586089
