t (ms),vlv (ml),plv (mmHg),pao (mmHg)
427.6807713,85.12,78.8740909,94.85569335
431.9514372,85.24,78.22875796,95.04041701
436.2363864,85.35,77.41165122,95.21990466
440.5070523,85.45,76.40727881,95.39403298
444.7920014,85.55,75.20024039,95.56267884
449.0626674,85.63,73.77478851,95.72571894
453.3476165,85.69,72.11245719,95.8830287
457.6182824,85.74,70.19349946,96.0344829
461.9032316,85.76,67.99817216,96.17995632
466.1881807,85.76,65.52363312,96.31932389
470.4588466,85.75,62.81789235,96.45246086
474.7437958,85.73,59.93848502,96.57924257
479.0144617,85.71,56.94280241,96.69954435
483.2994108,85.7,53.88293766,96.8132415
487.5700768,85.71,50.804269,96.92020925
491.8550259,85.75,47.75174231,97.02032281
496.1256918,85.83,44.76755796,97.11345741
500.410641,85.95,41.86774052,97.19948821
504.6813069,86.11,39.05380535,97.27829031
508.966256,86.32,36.32711353,97.34973885
513.236922,86.57,33.69077832,97.41370903
517.5218711,86.84,31.15419279,97.47007644
521.792537,87.14,28.72815631,97.51871673
526.0774862,87.45,26.42341381,97.55950557
530.3481521,87.78,24.247809,97.59231779
534.6331012,88.12,22.2048876,97.6170271
538.9037672,88.45,20.29784789,97.63350708
543.1887163,88.78,18.52937138,97.6416317
543.3172648,91.99,16.89607241,97.64127937
550.6016783,93.27,15.39062255,97.63233135
557.8718086,94.55,14.00562637,97.61466897
565.1419389,95.83,12.73392099,97.58816904
572.4120693,97.1,11.56933846,97.5526892
579.6821996,98.36,10.50597684,97.50808192
586.9523299,99.61,9.537936593,97.45420017
594.2224603,100.86,8.659517674,97.39093658
601.4925906,102.1,7.865366261,97.31825264
608.7627209,103.33,7.150163109,97.23611669
616.0328513,104.55,6.508685804,97.14450916
620.3178004,105.76,5.937133095,97.04358731
624.6027495,106.96,5.432783764,96.9336428
628.8734155,108.15,4.992943578,96.81497067
633.1583646,109.31,4.614861879,96.68785964
637.4290305,110.44,4.295499566,96.55256627
641.7139796,111.54,4.031725606,96.40933686
645.9846456,112.58,3.820409169,96.25841774
650.2695947,113.58,3.658454945,96.1000592
654.5402607,114.52,3.542840082,95.93451959
658.8252098,115.4,3.470550558,95.76205828
663.0958757,116.21,3.438571499,95.58293452
667.3808249,116.96,3.443872124,95.3974058
671.6514908,117.66,3.483407539,95.20572802
675.9364399,118.29,3.554132356,95.00815705
680.2071059,118.87,3.653002079,94.80494884
684.492055,119.38,3.776977659,94.59635994
688.7627209,119.85,3.923022111,94.38264716
693.0476701,120.25,4.08809845,94.16406728
697.318336,120.61,4.269169094,93.94087703
701.6032851,120.9,4.463195021,93.71333297
705.8739511,121.14,4.667136999,93.48169165
710.1589002,121.31,4.877955803,93.24620961
714.4295661,121.43,5.092612497,93.00714342
718.7145153,121.52,5.308068435,92.76474969
722.9851812,121.57,5.521284988,92.51928503
727.2701303,121.61,5.729223511,92.27100605
731.5550795,121.64,5.928845257,92.02016934
735.8257454,121.68,6.117111436,91.76703149
740.1106945,121.73,6.290983253,91.51184909
744.3813605,121.82,6.447421928,91.25487874
748.6663096,121.94,6.583388706,90.99637703
752.9369755,122.09,6.695844839,90.73660055
757.2219247,122.26,6.781751577,90.47580591
761.4925906,122.44,6.838070166,90.21424969
765.7775397,122.63,6.861761846,89.95218849
770.0482057,122.82,6.849787857,89.68987891
774.3331548,122.99,6.799109439,89.42757753
778.6038207,123.14,6.706687832,89.16554096
782.8887699,123.26,6.56948428,88.90402578
787.1594358,123.35,6.384460025,88.6432886
791.4443849,123.4,6.148576309,88.383586
795.7150509,123.42,5.858794375,88.12517459
800,123.42,5.512075465,87.86831095
