t (ms), vlv (ml), plv (mmHg), part (mmHg)
0.000000000000000000e+00,1.081829850999999962e+02,1.545719822999999948e+01,8.051863088000000346e+01
1.632653028135431583e+01,1.060594586999999933e+02,1.518682141999999935e+01,7.725477596000000347e+01
3.265306151645206967e+01,1.046841344000000049e+02,2.966515685999999974e+01,7.487156294999999773e+01
4.897959179780638550e+01,1.038553124999999966e+02,4.969404832000000027e+01,7.330993630000000394e+01
6.530612207916070133e+01,1.033712936999999954e+02,6.490837406999999359e+01,7.251084045000000344e+01
8.163265331425847648e+01,1.030303782999999953e+02,7.420436463999999432e+01,7.241521982999999807e+01
9.795918359561277100e+01,1.026308668000000068e+02,7.940167766999999799e+01,7.296401887000000386e+01
1.142857138769670939e+02,1.019909157000000022e+02,8.218822916999999961e+01,7.409345032999999603e+01
1.306122451120648407e+02,1.010513696000000010e+02,8.342803019000000120e+01,7.570982127000000617e+01
1.469387753934191778e+02,9.979989686999999776e+01,8.366913963999999737e+01,7.770776662999999473e+01
1.632653056747734865e+02,9.822425921999999332e+01,8.345896573999999646e+01,7.998189392000000453e+01
1.795918369098712617e+02,9.631221847000000480e+01,8.334491672999999423e+01,8.242681063999999935e+01
1.959183671912255420e+02,9.405153640999999709e+01,8.387440085999999440e+01,8.493712429999999358e+01
2.122448984263232887e+02,9.143752992999999663e+01,8.548506616000000236e+01,8.741188262999999381e+01
2.285714287076776259e+02,8.853109317999999917e+01,8.766762504000000433e+01,8.978929641999999944e+01
2.448979589890319346e+02,8.542687945000000127e+01,8.942786943999999494e+01,9.202800474000000008e+01
2.612244902241296813e+02,8.221982472000000541e+01,8.988075125000000298e+01,9.408682584000000304e+01
2.775510205054840185e+02,7.900486492999999655e+01,8.939472632000000374e+01,9.592457799999999679e+01
2.938775507868383556e+02,7.587693604000000391e+01,8.911970030000000520e+01,9.750007947999999658e+01
3.102040820219360739e+02,7.293922587999999507e+01,9.005455009000000643e+01,9.877306371000000240e+01
3.265306123032904111e+02,7.041763591000000133e+01,9.082968420999999637e+01,9.971733002000000567e+01
3.428571425846447482e+02,6.863226324999999406e+01,8.828515514000000053e+01,1.003176992000000070e+02
3.591836738197425234e+02,6.789102280999999550e+01,7.934899504999999920e+01,1.005592869000000036e+02
3.755102041010968037e+02,6.820480784999999457e+01,6.360880726999999979e+01,1.004272090000000048e+02
3.918367343824510840e+02,6.932299349999999549e+01,4.427634602999999913e+01,9.990658093000000406e+01
4.081632656175489160e+02,7.105748792999999353e+01,2.740341851999999889e+01,9.898500391999999692e+01
4.244897958989031963e+02,7.330676474000000553e+01,1.581337000000000081e+01,9.770497133000000645e+01
4.408163261802575335e+02,7.603561304000000121e+01,8.661409075999999985e+00,9.616270880999999804e+01
4.571428574153552518e+02,7.920848134999999957e+01,4.958799671000000409e+00,9.445669485000000520e+01
4.734693876967096458e+02,8.268899299000000269e+01,3.716805721000000062e+00,9.268540792999999667e+01
4.897959179780638692e+02,8.622101652000000627e+01,3.946691158999999782e+00,9.094732652000000428e+01
5.061224492131616444e+02,8.954342733000000010e+01,4.668648072999999954e+00,8.934002825999999686e+01
5.224489794945159247e+02,9.248776306999999974e+01,5.302354056000000426e+00,8.792002895000000251e+01
5.387755097758703187e+02,9.501941379000000154e+01,5.820112111000000255e+00,8.668656801000000200e+01
5.551020410109680370e+02,9.713420859000000007e+01,6.234849886000000119e+00,8.563462074999999629e+01
5.714285712923224310e+02,9.881622464000000150e+01,6.559495026999999645e+00,8.475916245999999887e+01
5.877551015736767113e+02,1.000190280999999999e+02,6.806975183999999679e+00,8.405516844000000276e+01
6.040816328087745433e+02,1.006942846999999972e+02,6.990256043999999669e+00,8.351749949000000584e+01
6.204081630901287099e+02,1.008591415000000069e+02,7.125521789999999633e+00,8.312876909999999953e+01
6.367346943252265419e+02,1.006465127000000024e+02,7.234578098000000068e+00,8.284853225000000521e+01
6.530612246065808222e+02,1.002011693999999977e+02,7.339796884000000077e+00,8.263378645999999605e+01
6.693877548879351025e+02,9.966788282999999637e+01,7.463550064999999734e+00,8.244152927000000375e+01
6.857142861230329345e+02,9.919142435999999918e+01,7.628209556999999919e+00,8.222875822000000312e+01
7.020408164043872148e+02,9.891656519000000003e+01,7.856147275999999735e+00,8.195247084999999743e+01
7.183673466857416088e+02,9.898807657999999776e+01,8.169735138000000063e+00,8.156966468000000248e+01
7.346938779208393271e+02,9.955072979000000544e+01,8.591345060000000089e+00,8.103733724999999311e+01
7.510204082021936074e+02,1.007492960999999951e+02,9.143348957000000610e+00,8.031248610000000099e+01
7.673469384835478877e+02,1.027285466999999954e+02,9.848118745000000729e+00,7.935210875999999303e+01
7.836734697186457197e+02,1.056332527999999940e+02,1.072802633999999955e+01,7.811320277000000090e+01
8.000000000000000000e+02,1.096081858999999952e+02,1.180544365999999989e+01,7.655276566000000571e+01
