t (ms), vlv (ml), plv (mmHg), part (mmHg)
0.000000000000000000e+00,5.576581088999999736e+01,1.804826716999999903e+01,7.624831063999999969e+01
1.632653083853083587e+01,5.377269470000000240e+01,1.629898791000000102e+01,7.345310035999999343e+01
3.265306167706167173e+01,5.150427952999999803e+01,2.471334952999999857e+01,7.119911245000000122e+01
4.897959140679140688e+01,4.909168067000000235e+01,4.295714087999999720e+01,6.956640935999999442e+01
6.530612224532224275e+01,4.666601340999999792e+01,5.874069739000000112e+01,6.863505351000000587e+01
8.163265308385308572e+01,4.435839303000000200e+01,6.961675891000000149e+01,6.848510731999999734e+01
9.795918392238391448e+01,4.229993483999999881e+01,7.660921288000000118e+01,6.919663321000000167e+01
1.142857147609147574e+02,4.059832366999999920e+01,8.070967487000000062e+01,7.081843385000000524e+01
1.306122444906444855e+02,3.922073741999999896e+01,8.270654613000000666e+01,7.320875580000000582e+01
1.469387753291753143e+02,3.808214301000000290e+01,8.331328179999999861e+01,7.615377793000000395e+01
1.632653061677061714e+02,3.709741805000000170e+01,8.324321600999999760e+01,7.943953458999999384e+01
1.795918370062370002e+02,3.618144015000000024e+01,8.320968292999999960e+01,8.285206014000000607e+01
1.959183678447678290e+02,3.524908688000000012e+01,8.392601670999999897e+01,8.617738896000000182e+01
2.122448975744975712e+02,3.422215082999999680e+01,8.597420597999999359e+01,8.921633248999999921e+01
2.285714284130284284e+02,3.308426813999999894e+01,8.878867562000000646e+01,9.189701612000000353e+01
2.448979592515592287e+02,3.185164710000000099e+01,9.121048824000000366e+01,9.421268410000000415e+01
2.612244900900900575e+02,3.054078836000000052e+01,9.218634247999999332e+01,9.615711226999999894e+01
2.775510209286209147e+02,2.916819260999999841e+01,9.197562705999999366e+01,9.772407646999999997e+01
2.938775506583506285e+02,2.775036052000000097e+01,9.169887660000000551e+01,9.890735257000000047e+01
3.102040814968814857e+02,2.630795430999999951e+01,9.231539628000000164e+01,9.970071640999999829e+01
3.265306123354123429e+02,2.491396638999999880e+01,9.235207613000000038e+01,1.000979437999999959e+02
3.428571431739431432e+02,2.367712721999999914e+01,8.855850449999999796e+01,1.000928107000000011e+02
3.591836740124740004e+02,2.270685835999999824e+01,7.787189906999999778e+01,9.967909283000000187e+01
3.755102037422037142e+02,2.211258136000000007e+01,6.128361665999999985e+01,9.885056609000000094e+01
3.918367345807345714e+02,2.200371777000000151e+01,4.327065120000000320e+01,9.760100633999999786e+01
4.081632654192653717e+02,2.248739042000000055e+01,2.829248632999999913e+01,9.592785340999999733e+01
4.244897962577962289e+02,2.362621431999999899e+01,1.810049155000000098e+01,9.390663408999999717e+01
4.408163259875259996e+02,2.544262111000000104e+01,1.190013787000000001e+01,9.168779781000000639e+01
4.571428568260568568e+02,2.795306774000000161e+01,8.798007452000000228e+00,8.942482386000000361e+01
4.734693876645876571e+02,3.102735569000000027e+01,7.900682440999999834e+00,8.727119154000000378e+01
4.897959185031184575e+02,3.436038401999999792e+01,8.314744995999999944e+00,8.538038013999999976e+01
5.061224493416493715e+02,3.763822618999999747e+01,9.155959993999999824e+00,8.390334710000000484e+01
5.224489790713790853e+02,4.061314446000000089e+01,9.907369306999999736e+00,8.288699963000000537e+01
5.387755099099099425e+02,4.313110628999999818e+01,1.053652431999999983e+01,8.223841326000000151e+01
5.551020407484406860e+02,4.504637759999999957e+01,1.104423345999999917e+01,8.185473996999999713e+01
5.714285715869715432e+02,4.629152856000000327e+01,1.143130513999999920e+01,8.163313177000000564e+01
5.877551024255024004e+02,4.692725496999999990e+01,1.169854776999999935e+01,8.147074064000000249e+01
6.040816321552321142e+02,4.702632197999999875e+01,1.184688769999999991e+01,8.126513993999999741e+01
6.204081629937629714e+02,4.668347186999999821e+01,1.188832904999999940e+01,8.095240139000000568e+01
6.367346938322938286e+02,4.603452612000000244e+01,1.185490223000000043e+01,8.053776018000000647e+01
6.530612246708246857e+02,4.521981188000000174e+01,1.178074718999999959e+01,8.003369401000000494e+01
6.693877555093554292e+02,4.437965626999999813e+01,1.170000392000000033e+01,7.945268059999999366e+01
6.857142852390852568e+02,4.365438644000000323e+01,1.164681236999999925e+01,7.880719766999999365e+01
7.020408160776161139e+02,4.318432950999999775e+01,1.165531252000000073e+01,7.810972291000000212e+01
7.183673469161468574e+02,4.310981263000000041e+01,1.175964433000000042e+01,7.737273405999999909e+01
7.346938777546777146e+02,4.357116291999999902e+01,1.199394777999999917e+01,7.660870880999999599e+01
7.510204085932085718e+02,4.470870751999999726e+01,1.239236282999999972e+01,7.583012488999999334e+01
7.673469383229382856e+02,4.666277355999999799e+01,1.298902943999999948e+01,7.504945999999999628e+01
7.836734691614691428e+02,4.957368818999999860e+01,1.381808758999999931e+01,7.427919185000000368e+01
8.000000000000000000e+02,5.358177853000000113e+01,1.491367724999999922e+01,7.353179817000000185e+01
