t (ms), vlv (ml), plv (mmHg), part (mmHg)
0.000000000000000000e+00,7.230710983999999542e+01,1.496486409999999978e+01,9.373627426000000185e+01
1.632653082951352630e+01,7.227287810999999351e+01,1.344148816999999951e+01,9.135927678000000185e+01
3.265306165902705260e+01,7.183786274999999932e+01,2.330526863000000048e+01,8.961016395000000045e+01
4.897959130563359054e+01,7.104068659000000707e+01,4.000322915999999651e+01,8.844288785999999902e+01
6.530612213514712039e+01,6.991997247999999843e+01,5.889336698000000325e+01,8.781140062999999429e+01
8.163265296466065024e+01,6.851434322999999438e+01,7.498944312000000423e+01,8.766965439000000515e+01
9.795918379417418009e+01,6.686242169000000501e+01,8.586925186999999937e+01,8.797160123999999826e+01
1.142857146236877099e+02,6.500283068999999614e+01,9.278355870000000039e+01,8.867119329000000505e+01
1.306122454532012398e+02,6.297419306999999833e+01,9.670916515000000402e+01,8.972238267000000178e+01
1.469387750998077706e+02,6.081513164999999788e+01,9.840176950999999406e+01,9.107912147999999775e+01
1.632653059293213005e+02,5.856426927999999776e+01,9.861651722999999947e+01,9.269536184999999762e+01
1.795918367588348303e+02,5.626022877999999849e+01,9.810855379999999570e+01,9.452505587999999648e+01
1.959183675883483602e+02,5.394163300000000305e+01,9.763302466000000379e+01,9.652215569999999900e+01
2.122448984178618900e+02,5.164593271999999757e+01,9.787708474000000081e+01,9.864097411999999565e+01
2.285714280644683924e+02,4.939967520999999806e+01,9.891860590000000286e+01,1.008391622999999981e+02
2.448979588939819507e+02,4.722348025000000149e+01,1.005134957000000071e+02,1.030761784000000034e+02
2.612244897234954806e+02,4.513790838999999977e+01,1.024147088999999937e+02,1.053114982000000026e+02
2.775510205530090388e+02,4.316352017999999902e+01,1.043752005000000054e+02,1.075045977000000050e+02
2.938775513825225403e+02,4.132087620000000072e+01,1.061479254000000054e+02,1.096149527000000035e+02
3.102040822120360986e+02,3.963053699999999679e+01,1.074961329000000063e+02,1.116020391999999930e+02
3.265306118586426010e+02,3.811306314000000128e+01,1.083265382000000017e+02,1.134253329999999949e+02
3.428571426881561592e+02,3.678901516999999899e+01,1.086517585999999937e+02,1.150443099000000018e+02
3.591836735176696607e+02,3.567895366999999851e+01,1.084869299000000069e+02,1.164184458999999947e+02
3.755102043471831621e+02,3.480343918999999886e+01,1.078471880000000027e+02,1.175072169999999971e+02
3.918367351766967204e+02,3.418303227999999905e+01,1.067476683999999949e+02,1.182700987999999995e+02
4.081632648233032796e+02,3.383761752000000200e+01,1.051043906999999962e+02,1.186684596999999997e+02
4.244897956528167811e+02,3.377386451000000278e+01,1.008121107999999992e+02,1.187023164000000008e+02
4.408163264823303962e+02,3.398640593999999737e+01,9.023599072000000376e+01,1.184078740000000067e+02
4.571428573118437839e+02,3.446718532999999951e+01,7.156194856000000470e+01,1.178227365999999989e+02
4.734693881413573422e+02,3.512978864000000101e+01,4.927916918999999751e+01,1.169845081999999934e+02
4.897959177879639014e+02,3.582138916000000251e+01,3.263338204000000076e+01,1.159307928000000061e+02
5.061224486174774597e+02,3.657819271000000327e+01,2.150187606000000073e+01,1.146991943999999961e+02
5.224489794469909612e+02,3.747556741999999730e+01,1.362643096000000043e+01,1.133273171000000019e+02
5.387755102765045194e+02,3.852956692000000061e+01,8.358491881000000845e+00,1.118527648000000028e+02
5.551020411060180777e+02,3.975105663000000078e+01,5.170168355000000382e+00,1.103131415999999945e+02
5.714285719355315223e+02,4.114658350999999925e+01,3.533569908000000037e+00,1.087460514999999930e+02
5.877551015821380815e+02,4.271603635000000310e+01,2.920806068000000089e+00,1.071890985000000001e+02
6.040816324116516398e+02,4.445867192000000045e+01,2.805873022000000105e+00,1.056797758999999957e+02
6.204081632411651981e+02,4.636690684999999945e+01,2.839979014999999940e+00,1.042449737000000027e+02
6.367346940706786427e+02,4.842027550000000247e+01,2.995159033000000193e+00,1.028922670999999980e+02
6.530612249001923146e+02,5.059690162999999785e+01,3.277341520999999869e+00,1.016271751000000023e+02
6.693877545467986465e+02,5.287836561000000302e+01,3.692454922000000028e+00,1.004552170000000046e+02
6.857142853763123185e+02,5.525393431999999905e+01,4.246427680000000038e+00,9.938191191999999319e+01
7.020408162058257631e+02,5.771391138999999981e+01,4.945188240000000235e+00,9.841277902999999583e+01
7.183673470353393213e+02,6.024900909000000127e+01,5.794665045000000347e+00,9.755333751000000575e+01
7.346938778648529933e+02,6.285103936000000147e+01,6.800786538999999742e+00,9.680910652000000027e+01
7.510204086943663242e+02,6.551199721999999781e+01,7.969481165000000367e+00,9.618560522999999307e+01
7.673469383409729971e+02,6.822387765999999942e+01,9.306677369000000866e+00,9.568835280999999782e+01
7.836734691704864417e+02,7.097867571999999825e+01,1.081830358999999930e+01,9.532286842000000604e+01
8.000000000000000000e+02,7.376838637999999548e+01,1.251028827999999926e+01,9.509467123999999671e+01
