t (ms), vlv (ml), plv (mmHg), part (mmHg)
0.000000000000000000e+00,7.025000000000000000e+01,6.115615370000000439e+00,5.878729296000000204e+01
6.653215194315291292e+00,7.020000000000000284e+01,7.862448425977609290e+00,5.814651048816651269e+01
1.330643038863058258e+01,7.014000000000000057e+01,9.609281481955218140e+00,5.750572801633301623e+01
1.995964558294587476e+01,7.007999999999999829e+01,1.204305088309221006e+01,5.694642178545753808e+01
2.661286077726116517e+01,7.003000000000000114e+01,1.504785016876424564e+01,5.645484434604060908e+01
3.326607597157645557e+01,6.996999999999999886e+01,1.812710865149300332e+01,5.597605850505181024e+01
3.991929116589174953e+01,6.992000000000000171e+01,2.194003321690870933e+01,5.562331165294600765e+01
4.657250636020703638e+01,6.987000000000000455e+01,2.575295778232441535e+01,5.527056480084019796e+01
5.322572155452233034e+01,6.982999999999999829e+01,2.979454246638853832e+01,5.499979950179022126e+01
5.987893674883761719e+01,6.979999999999999716e+01,3.396575212843684710e+01,5.477550866917884065e+01
6.653215194315291114e+01,6.978000000000000114e+01,3.812009038771812186e+01,5.457297743694215342e+01
6.959206947977892810e+01,6.976999999999999602e+01,3.999638726033238356e+01,5.452413009414451039e+01
7.265198701640494505e+01,6.976999999999999602e+01,4.187268413294664526e+01,5.447528275134687448e+01
7.569786823405561904e+01,6.978000000000000114e+01,4.374037413917277206e+01,5.442665947892903944e+01
7.875778577068163600e+01,6.978000000000000114e+01,4.561667101178703376e+01,5.437781213613139641e+01
8.181770330730766716e+01,6.979000000000000625e+01,4.747790964769777133e+01,5.433196052396309739e+01
8.487762084393368411e+01,6.976999999999999602e+01,4.910520998660977199e+01,5.433264929600396442e+01
8.792350206158435810e+01,6.973999999999999488e+01,5.072504564506804314e+01,5.433333490854005277e+01
9.098341959821037506e+01,6.968999999999999773e+01,5.235234598398004380e+01,5.433402368058091980e+01
9.404333713483640622e+01,6.960999999999999943e+01,5.397964632289205156e+01,5.433471245262177973e+01
9.708921835248706600e+01,6.948999999999999488e+01,5.559948198135031561e+01,5.433539806515786807e+01
1.001491358891130687e+02,6.932999999999999829e+01,5.692285278880994781e+01,5.436812448033931133e+01
1.032090534257390999e+02,6.914000000000000057e+01,5.812548662349163209e+01,5.441357795112883622e+01
1.062689709623651169e+02,6.892000000000000171e+01,5.932812045817331636e+01,5.445903142191836821e+01
1.093148521800158051e+02,6.867000000000000171e+01,6.052523762388857165e+01,5.450427639054830564e+01
1.123747697166418220e+02,6.839000000000000057e+01,6.172787145857025592e+01,5.454972986133783763e+01
1.154346872532678248e+02,6.809000000000000341e+01,6.277680310205626313e+01,5.461020046764694769e+01
1.184946047898938417e+02,6.776999999999999602e+01,6.357010069491339266e+01,5.469564723826348995e+01
1.215404860075445299e+02,6.742000000000000171e+01,6.435975930798677780e+01,5.478070205121665026e+01
1.246004035441705469e+02,6.706000000000000227e+01,6.515305690084390733e+01,5.486614882183318542e+01
1.276603210807965638e+02,6.668999999999999773e+01,6.594635449370103686e+01,5.495159559244972769e+01
1.307202386174225808e+02,6.629999999999999716e+01,6.672830837982424157e+01,5.503828545290560470e+01
1.337661198350732548e+02,6.590000000000000568e+01,6.719802725345961392e+01,5.515840057274303376e+01
1.368260373716992717e+02,6.546999999999999886e+01,6.766991073019930525e+01,5.527906921847833388e+01
1.398859549083252887e+02,6.504000000000000625e+01,6.814179420693898237e+01,5.539973786421363400e+01
1.429318361259759627e+02,6.459000000000000341e+01,6.861151308057435472e+01,5.551985298405106306e+01
