t (ms), vlv (ml), plv (mmHg), part (mmHg)
0.000000000000000000e+00,4.824899678999999963e+01,1.550188072000000084e+01,8.736108964000000299e+01
1.632653091522564281e+01,4.553672274000000186e+01,1.271016821999999991e+01,8.435241116999999633e+01
3.265306115563053879e+01,4.790494036999999850e+01,1.276318471000000088e+01,8.229096319999999309e+01
4.897959207085618516e+01,5.316508130999999793e+01,1.539132612000000044e+01,8.110777014999999324e+01
6.530612231126107758e+01,5.725491396000000321e+01,2.032498839999999873e+01,8.073385643999999672e+01
8.163265322648672395e+01,5.519206932000000165e+01,2.729456748000000132e+01,8.110024649000000352e+01
9.795918346689161638e+01,4.759582483999999880e+01,3.603045930999999769e+01,8.213796469999999772e+01
1.142857143821172343e+02,4.045298014000000109e+01,4.619969325999999654e+01,8.377243962999999383e+01
1.306122446225221552e+02,3.520195269999999965e+01,5.709588269999999710e+01,8.589627305999999862e+01
1.469387755377478015e+02,3.139622679000000005e+01,6.787639452999999889e+01,8.839011223999999345e+01
1.632653064529734479e+02,2.858573265000000063e+01,7.774152585999999587e+01,9.113458644000000675e+01
1.795918366933783261e+02,2.632040050000000164e+01,8.623420296000000462e+01,9.401032490000000053e+01
1.959183676086039725e+02,2.415016057000000060e+01,9.306079459000000043e+01,9.689795687999999529e+01
2.122448978490088507e+02,2.166980803999999949e+01,9.797756893999999761e+01,9.968064221999999575e+01
2.285714287642344686e+02,1.887579089000000110e+01,1.011605189999999936e+02,1.022636296000000016e+02
2.448979590046394037e+02,1.597641012999999965e+01,1.029994161999999989e+02,1.045635888000000051e+02
2.612244899198650501e+02,1.318188531999999924e+01,1.038857358000000062e+02,1.064972863999999930e+02
2.775510201602698999e+02,1.070243602000000038e+01,1.042109530999999976e+02,1.079814893000000069e+02
2.938775510754956031e+02,8.748281772000000345e+00,1.043665431999999953e+02,1.089329641000000066e+02
3.102040813159004529e+02,7.601885703999999855e+00,1.047100324999999970e+02,1.092769653000000005e+02
3.265306122311261561e+02,8.636227629000000405e+00,1.051054251999999991e+02,1.090497478999999998e+02
3.428571431463517456e+02,1.268395815000000049e+01,1.050439281999999963e+02,1.083655883999999929e+02
3.591836733867566522e+02,1.525188503000000040e+01,1.039333761000000038e+02,1.073403906000000063e+02
3.755102043019822986e+02,1.501286847999999985e+01,9.988988688000000593e+01,1.060900579999999991e+02
3.918367345423872052e+02,1.454990036999999958e+01,9.101399623999999733e+01,1.047304941999999954e+02
4.081632654576128516e+02,1.647606659999999934e+01,7.919136890999999423e+01,1.033749482999999998e+02
4.244897956980177014e+02,2.118158487999999906e+01,6.623270798999999442e+01,1.020800140000000056e+02
4.408163266132433478e+02,2.695387288999999953e+01,5.303262836999999763e+01,1.008479111000000046e+02
4.571428568536481976e+02,3.203147495999999705e+01,4.044106091999999819e+01,9.967866232999999454e+01
4.734693877688739576e+02,3.561664170000000240e+01,2.910189305999999831e+01,9.857229021999999929e+01
4.897959186840995471e+02,3.799256759000000017e+01,1.941441676999999899e+01,9.752881739999999411e+01
5.061224489245043969e+02,3.949756353000000075e+01,1.175761778000000035e+01,9.654826649000000316e+01
5.224489798397301001e+02,4.038054841000000295e+01,6.232118853000000236e+00,9.563066010000000006e+01
5.387755100801349499e+02,4.077209990000000062e+01,2.549684399000000212e+00,9.477602084999999477e+01
5.551020409953606531e+02,4.079465895999999958e+01,3.930617920000000209e-01,9.398437135000000353e+01
5.714285712357655029e+02,4.057066653999999772e+01,-5.550015940000000425e-01,9.325573420999999996e+01
5.877551021509912061e+02,4.022256356999999838e+01,-6.117583829999999612e-01,9.259013204999999402e+01
6.040816323913960559e+02,3.987245673999999696e+01,-9.366414700000000315e-02,9.198751115999999683e+01
6.204081633066216455e+02,3.960954020999999869e+01,7.639091700000000262e-01,9.144071135000000083e+01
6.367346935470264953e+02,3.946271114000000324e+01,1.875871325000000089e+00,9.092975869999999361e+01
6.530612244622523122e+02,3.945441341000000079e+01,3.173471329999999924e+00,9.043333368000000405e+01
6.693877553774779017e+02,3.960709092999999825e+01,4.587958191000000241e+00,8.993011676000000421e+01
6.857142856178827515e+02,3.994318755999999837e+01,6.050580919999999807e+00,8.939878842000000247e+01
7.020408165331083410e+02,4.048514720000000011e+01,7.492588523000000222e+00,8.881802912000000561e+01
7.183673467735133045e+02,4.125541374000000161e+01,8.845230012000000031e+00,8.816651935000000151e+01
7.346938776887388940e+02,4.227643103999999852e+01,1.003975439000000058e+01,8.742293956000000321e+01
7.510204079291438575e+02,4.357064300999999773e+01,1.100741067999999956e+01,8.656597023000000490e+01
7.673469388443694470e+02,4.516049352000000283e+01,1.167944787999999967e+01,8.557429184000000078e+01
7.836734690847744105e+02,4.706842646999999857e+01,1.198711499999999930e+01,8.442658484999999757e+01
8.000000000000000000e+02,4.931688573000000275e+01,1.186166103999999955e+01,8.310152972999999577e+01
