t (ms), vlv (ml), plv (mmHg), part (mmHg)
0.000000000000000000e+00,7.874815221000000065e+01,1.269273377999999930e+01,8.198393851000000154e+01
1.632653096085408961e+01,7.756678119000000038e+01,1.320042437999999940e+01,7.913599256999999909e+01
3.265306097271648866e+01,7.505309373000000051e+01,2.121864638999999997e+01,7.700161654999999428e+01
4.897959193357058183e+01,7.229932784999999740e+01,3.416129759999999749e+01,7.554533492000000194e+01
6.530612289442466079e+01,7.026191672000000210e+01,4.945537405000000319e+01,7.473167214000000058e+01
8.163265290628707760e+01,6.924873852999999713e+01,6.459042436000000009e+01,7.452515268999999876e+01
9.795918386714116366e+01,6.937428389999999467e+01,7.707464917999999443e+01,7.489030101999999545e+01
1.142857138790035663e+02,7.066238013000000251e+01,8.485787768000000142e+01,7.578940070000000162e+01
1.306122448398576523e+02,7.259623177000000283e+01,8.850833504000000573e+01,7.717109048000000371e+01
1.469387758007117384e+02,7.445913661999999533e+01,8.955785222000000090e+01,7.897886570999999378e+01
1.632653058125741552e+02,7.556283501999999430e+01,8.947873531000000469e+01,8.115621199000000274e+01
1.795918367734282128e+02,7.543462245999999993e+01,8.932376437000000635e+01,8.364661495000000002e+01
1.959183677342823273e+02,7.369959987999999385e+01,8.996954472999999552e+01,8.639356021000000396e+01
2.122448977461447157e+02,7.005167269999999746e+01,9.214933071999999470e+01,8.933528864999999541e+01
2.285714287069988302e+02,6.477968223000000592e+01,9.532421736999999951e+01,9.236268031000000178e+01
2.448979587188611902e+02,5.847950993999999980e+01,9.828637159999999540e+01,9.534146952999999769e+01
2.612244896797153046e+02,5.174776557999999937e+01,9.992981966000000682e+01,9.813715820999999551e+01
2.775510206405693907e+02,4.515879883000000206e+01,1.003800896000000051e+02,1.006152483000000046e+02
2.938775506524317507e+02,3.927229645999999974e+01,1.005497720999999984e+02,1.026412416999999948e+02
3.102040816132858936e+02,3.462336752000000217e+01,1.009919208000000026e+02,1.040891371999999961e+02
3.265306125741399796e+02,3.142792044999999845e+01,9.728461162000000684e+01,1.049542830999999978e+02
3.428571425860023396e+02,2.967667138999999921e+01,8.277380965999999773e+01,1.053226863000000009e+02
3.591836735468564257e+02,2.935006849999999901e+01,5.997370553999999743e+01,1.052825404999999961e+02
3.755102045077105686e+02,3.031056056999999981e+01,3.801811584000000011e+01,1.049220389999999981e+02
3.918367345195729854e+02,3.232544967999999841e+01,2.301477928999999989e+01,1.043293754000000035e+02
4.081632654804270146e+02,3.523019137000000001e+01,1.359430466999999965e+01,1.035909848000000011e+02
4.244897954922894314e+02,3.888598531000000236e+01,7.746094496999999635e+00,1.027552732999999989e+02
4.408163264531435175e+02,4.315953057000000115e+01,4.709626574999999704e+00,1.018338571999999971e+02
4.571428574139976604e+02,4.791038855000000041e+01,3.776033396999999958e+00,1.008368432999999982e+02
4.734693874258599635e+02,5.280433089000000280e+01,4.236447457999999777e+00,9.977433820000000253e+01
4.897959183867142201e+02,5.729721159000000341e+01,5.382001252000000235e+00,9.865644869000000483e+01
5.061224493475682493e+02,6.084276447999999959e+01,6.512124283000000347e+00,9.749328144000000407e+01
5.224489793594306093e+02,6.321354680999999687e+01,7.254089324999999810e+00,9.629494314999999460e+01
5.387755103202846385e+02,6.459282358000000102e+01,7.664760339999999950e+00,9.507154052999999294e+01
5.551020412811387814e+02,6.519099884000000600e+01,7.830140000000000100e+00,9.383318027999999345e+01
5.714285712930012551e+02,6.521847664000000577e+01,7.836230975000000321e+00,9.258996910000000469e+01
5.877551022538553980e+02,6.488566104999999595e+01,7.769035938000000030e+00,9.135201370000000054e+01
6.040816322657176443e+02,6.440231724999999585e+01,7.714225951999999609e+00,9.012942076999999585e+01
6.204081632265717872e+02,6.392547649000000121e+01,7.728175901000000181e+00,8.893229701999999293e+01
6.367346941874259301e+02,6.352089853999999747e+01,7.815323120000000401e+00,8.777074915999999405e+01
6.530612241992882900e+02,6.324526516000000242e+01,7.974768188999999730e+00,8.665488387999999986e+01
6.693877551601423193e+02,6.315525809999999751e+01,8.205611688999999487e+00,8.559480788000000473e+01
6.857142861209965758e+02,6.330755909999999886e+01,8.506954200999999216e+00,8.460062786999999673e+01
7.020408161328588221e+02,6.375893406000000141e+01,8.877896304000000072e+00,8.368245054999999866e+01
7.183673470937128513e+02,6.459143853000000490e+01,9.317538579000000709e+00,8.285038262999999858e+01
7.346938771055754387e+02,6.594774637000000439e+01,9.824981604999999618e+00,8.211453079999999716e+01
7.510204080664294679e+02,6.797942543000000626e+01,1.039932596000000053e+01,8.148500176999999667e+01
7.673469390272836108e+02,7.083804358000000434e+01,1.103967223999999980e+01,8.097190224000000569e+01
7.836734690391459708e+02,7.467516867999999874e+01,1.174512099999999926e+01,8.058533891000000438e+01
8.000000000000000000e+02,7.964236857000000214e+01,1.251477283999999912e+01,8.033541848000000130e+01
