t (ms), vlv (ml), plv (mmHg), part (mmHg)
0.000000000000000000e+00,6.762337320999999690e+01,1.221806147000000031e+01,7.621798859000000448e+01
1.632653119824200871e+01,6.329985225000000071e+01,2.259187396000000092e+01,7.444516640000000507e+01
3.265306120007324608e+01,6.145130160000000075e+01,4.035228047999999745e+01,7.286077575999999567e+01
4.897959239831526190e+01,5.994003719999999902e+01,5.935727653000000004e+01,7.151990766999999494e+01
6.530612240014649217e+01,5.803434722000000079e+01,7.347285343000000069e+01,7.047752405999999326e+01
8.163265359838850088e+01,6.155399143000000350e+01,8.236474393999999677e+01,6.978796366000000262e+01
9.795918360021975957e+01,7.428187805000000310e+01,8.762693428999999412e+01,6.950537742000000208e+01
1.142857147984617683e+02,8.050626610999999855e+01,9.073051069000000268e+01,6.967227470000000267e+01
1.306122448002929843e+02,7.911691804999999533e+01,9.238548796000000607e+01,7.026233118999999760e+01
1.469387759985350215e+02,7.598125041999999496e+01,9.301336770999999715e+01,7.122399765000000116e+01
1.632653060003662517e+02,7.297309457999999438e+01,9.303508539999999982e+01,7.250568620999999325e+01
1.795918371986082605e+02,7.016035949999999843e+01,9.287157650999999703e+01,7.405580894999999941e+01
1.959183672004395191e+02,6.709116975999999966e+01,9.294377649000000474e+01,7.582277799000000584e+01
2.122448983986814994e+02,6.364466154000000131e+01,9.362544443999999544e+01,7.775484262000000513e+01
2.285714284005127297e+02,5.988769230999999849e+01,9.488341097999999363e+01,7.979877505999999698e+01
2.448979595987547384e+02,5.595696456000000296e+01,9.647621125999999947e+01,8.190055798000000209e+01
2.612244896005859687e+02,5.198952898999999661e+01,9.816067812000000004e+01,8.400616650000000618e+01
2.775510207988280058e+02,4.812243632999999932e+01,9.969364443999999992e+01,8.606157570999999962e+01
2.938775508006592645e+02,4.449273731000000254e+01,1.008319431000000037e+02,8.801276072999999656e+01
3.102040819989012448e+02,4.123420691999999832e+01,1.013543157000000008e+02,8.980569663999999364e+01
3.265306120007325035e+02,3.843559917999999698e+01,1.013350633999999957e+02,9.138635854999999708e+01
3.428571431989745406e+02,3.615294226000000322e+01,1.010605987999999940e+02,9.270072156999999891e+01
3.591836732008057425e+02,3.444152661999999765e+01,1.007396341000000035e+02,9.369476079000000368e+01
3.755102043990477796e+02,3.335664275999999973e+01,9.918274753999999405e+01,9.431445132999999714e+01
3.918367344008790383e+02,3.295358115999999882e+01,9.402932939999999462e+01,9.450576827000000435e+01
4.081632655991210754e+02,3.327230569999999688e+01,8.300777522999999292e+01,9.421792696999999350e+01
4.244897956009522204e+02,3.404765408000000093e+01,6.635530846999999710e+01,9.346583843000000513e+01
4.408163267991942575e+02,3.487593114999999955e+01,4.748883380000000187e+01,9.232568539000000385e+01
4.571428568010254594e+02,3.594339215000000110e+01,3.217148355999999865e+01,9.087600317999999788e+01
4.734693879992674965e+02,3.738630516999999998e+01,2.155831789000000143e+01,8.919532710999999381e+01
4.897959180010987552e+02,3.910812766000000096e+01,1.455481641000000081e+01,8.736219248000000448e+01
5.061224491993407923e+02,4.100352056999999917e+01,9.986284828000000502e+00,8.545504889000000048e+01
5.224489792011719373e+02,4.308192920999999842e+01,7.034467863999999793e+00,8.354888268999999923e+01
5.387755103994139745e+02,4.550125865999999775e+01,5.366958454999999795e+00,8.171406097000000557e+01
5.551020404012451763e+02,4.842556087999999903e+01,4.686286907999999585e+00,8.002062605000000417e+01
5.714285715994872135e+02,5.179156297000000109e+01,4.694983532000000181e+00,7.853862023000000647e+01
5.877551016013185290e+02,5.518122984000000031e+01,5.095578631999999608e+00,7.733808582999999715e+01
6.040816327995605661e+02,5.814727071000000080e+01,5.591776434999999879e+00,7.648852943999999354e+01
6.204081628013916543e+02,6.040113628000000290e+01,5.996118629999999783e+00,7.600987852000000089e+01
6.367346939996338051e+02,6.194449271999999951e+01,6.317687972999999957e+00,7.583253854000000160e+01
6.530612240014650069e+02,6.281036368000000181e+01,6.586289578999999783e+00,7.587747478000000001e+01
6.693877551997070441e+02,6.311203771999999645e+01,6.831728563000000420e+00,7.606565252000000044e+01
6.857142852015382459e+02,6.315309847000000332e+01,7.083810039000000280e+00,7.631803707000000259e+01
7.020408163997803968e+02,6.326459146999999916e+01,7.372339121999999634e+00,7.655559370000000285e+01
7.183673464016114849e+02,6.368915511000000151e+01,7.727120926999999639e+00,7.669928769999999929e+01
7.346938775998534084e+02,6.443984951999999566e+01,8.177960568999999680e+00,7.667008436999999788e+01
7.510204076016848376e+02,6.549279541999999310e+01,8.754663160999999860e+00,7.638894897999999500e+01
7.673469387999267610e+02,6.675668577000000425e+01,9.487033820000000617e+00,7.577684684000000459e+01
7.836734688017580766e+02,6.794313375000000121e+01,1.040487766000000036e+01,7.475474323000000254e+01
8.000000000000000000e+02,6.872793722999999488e+01,1.153799979000000064e+01,7.324360342999999318e+01
