t (ms), vlv (ml), plv (mmHg), part (mmHg)
0.000000000000000000e+00,1.096281998999999985e+02,1.620563927999999976e+01,8.746946468999999524e+01
1.632653092396154548e+01,1.107567566000000028e+02,1.410815473999999980e+01,8.591629722999999785e+01
3.265306082964870171e+01,1.034320290999999941e+02,2.223955218000000045e+01,8.455962354999999775e+01
4.897959175361025075e+01,1.010754045999999988e+02,3.795304613999999788e+01,8.373128563000000213e+01
6.530612267757179268e+01,9.942470326000000114e+01,5.791002928999999710e+01,8.373301709999999787e+01
8.163265258325895957e+01,9.657010805999999548e+01,7.511117731999999592e+01,8.471298212000000660e+01
9.795918350722050150e+01,9.284756921000000318e+01,8.547548297000000161e+01,8.677045800000000497e+01
1.142857144311820434e+02,8.892628634000000432e+01,9.107647246000000507e+01,8.991040870999999868e+01
1.306122453551435854e+02,8.510100015999999812e+01,9.355034870000000069e+01,9.356550360999999327e+01
1.469387752608307665e+02,8.150635038999999438e+01,9.413504288999999403e+01,9.695342918000000054e+01
1.632653061847922800e+02,7.826733319000000222e+01,9.401448431000000028e+01,9.939579949999999542e+01
1.795918371087538503e+02,7.543804092999999966e+01,9.397316318999999396e+01,1.010298022000000060e+02
1.959183670144410030e+02,7.303979402999999593e+01,9.461289177999999822e+01,1.023770123000000041e+02
2.122448979384025733e+02,7.108752173000000596e+01,9.643237881999999672e+01,1.039134403000000049e+02
2.285714288623640869e+02,6.954105502000000172e+01,9.898208436000000177e+01,1.056964119999999951e+02
2.448979587680512680e+02,6.833137200999999550e+01,1.012975533000000041e+02,1.075662815999999964e+02
2.612244896920128099e+02,6.738919504000000416e+01,1.024986059000000012e+02,1.093615439000000009e+02
2.775510206159743802e+02,6.664524643000000026e+01,1.027842291999999986e+02,1.109206934000000047e+02
2.938775515399358937e+02,6.603024849999999901e+01,1.030710246000000012e+02,1.120822246999999976e+02
3.102040814456230464e+02,6.547932317999999441e+01,1.041816005999999959e+02,1.126938260999999954e+02
3.265306123695845599e+02,6.499490819999999758e+01,1.053923481000000066e+02,1.127356238999999931e+02
3.428571432935461303e+02,6.463209539999999720e+01,1.048136511000000013e+02,1.122873491000000001e+02
3.591836731992333398e+02,6.444096050999999648e+01,1.004344240000000070e+02,1.114329036000000031e+02
3.755102041231949102e+02,6.433544417000000237e+01,8.855838670999999351e+01,1.102881464000000022e+02
3.918367350471564237e+02,6.416313614999999970e+01,6.714273857999999962e+01,1.089971199999999953e+02
4.081632649528435195e+02,6.402449952999999994e+01,4.564876293999999746e+01,1.077013036999999969e+02
4.244897958768051467e+02,6.418777430000000095e+01,2.972024564999999896e+01,1.064685862000000043e+02
4.408163268007666602e+02,6.501820560999999543e+01,1.868569490999999871e+01,1.052971636000000046e+02
4.571428577247281737e+02,6.687710287000000164e+01,1.162237602000000081e+01,1.041824823999999978e+02
4.734693876304153832e+02,6.986983628999999496e+01,7.607554255000000154e+00,1.031199892000000062e+02
4.897959185543768967e+02,7.378878982000000519e+01,5.718494920999999565e+00,1.021051307999999977e+02
5.061224494783385239e+02,7.839809628999999802e+01,5.039431253000000055e+00,1.011333537000000007e+02
5.224489793840256198e+02,8.305234885999999506e+01,4.962903994999999568e+00,1.002001044999999948e+02
5.387755103079872470e+02,8.670881036999999480e+01,5.306567690999999698e+00,9.930082993000000613e+01
5.551020412319487605e+02,8.949257450000000347e+01,5.919229578000000380e+00,9.843097656000000484e+01
5.714285711376357995e+02,9.179276758000000314e+01,6.649696891999999693e+00,9.758599101999999448e+01
5.877551020615974267e+02,9.357615807000000530e+01,7.346776871000000320e+00,9.676131995000000074e+01
6.040816329855589402e+02,9.477151935999999921e+01,7.860095453999999648e+00,9.595240995999999711e+01
6.204081628912460928e+02,9.537863459000000432e+01,8.114487602000000521e+00,9.515470768999999507e+01
6.367346938152076063e+02,9.552798801999999512e+01,8.169831486999999726e+00,9.436365974999999651e+01
6.530612247391691199e+02,9.536412319999999454e+01,8.100111432000000278e+00,9.357471279000000663e+01
6.693877556631307471e+02,9.503158369000000505e+01,7.979311759999999865e+00,9.278331341999999893e+01
6.857142855688178997e+02,9.467491300999999737e+01,7.881416791999999560e+00,9.198490825999999743e+01
7.020408164927795269e+02,9.443883540999999582e+01,7.880410850999999717e+00,9.117494395999999313e+01
7.183673474167410404e+02,9.452943571999999506e+01,8.050278260000000685e+00,9.034886713000000213e+01
7.346938773224281931e+02,9.530389757999999745e+01,8.465003340000000875e+00,8.950212439999999958e+01
7.510204082463898203e+02,9.714225432000000637e+01,9.198570413000000556e+00,8.863016240000000323e+01
7.673469391703512201e+02,1.003584321000000017e+02,1.032496380000000080e+01,8.772842774999999449e+01
7.836734690760384865e+02,1.050641368000000000e+02,1.191816782999999980e+01,8.679236708000000533e+01
8.000000000000000000e+02,1.113325410000000062e+02,1.405216682000000006e+01,8.581742701999999667e+01
