t (ms),vlv (ml),plv (mmHg),pao (mmHg)
1.873922858,126.73,12.5206179,65.76799964
4.544020196,126.42,11.56447276,65.7317566
7.214117533,126.05,10.86207663,65.65620202
9.88421487,125.62,10.40449307,65.54729717
12.56402165,125.14,10.18278564,65.41100331
15.23411899,124.63,10.18801791,65.25328171
17.90421633,124.1,10.41125343,65.08009365
20.57431366,123.57,10.84355577,64.89740038
23.244411,123.04,11.4759885,64.71116318
24.04058548,123.15,12.29961517,64.52734332
29.22542904,123.34,13.30549934,64.35190207
34.41998204,123.54,14.48470458,64.19080069
39.60482559,123.73,15.8282949,64.0500012
44.78966915,123.92,17.3275453,63.93581735
49.97451271,124.09,18.97427847,63.85547591
55.16906571,124.25,20.76040479,63.81634989
60.35390927,124.4,22.67783467,63.82581227
65.53875282,124.52,24.71847849,63.89123604
70.73330582,124.63,26.87422823,64.01995707
75.91814938,124.7,29.13390621,64.21312721
78.58824672,124.75,31.47985712,64.4588486
81.25834405,124.76,33.89360395,64.74356802
83.92844139,124.75,36.35666969,65.05373225
86.60824817,124.71,38.85057735,65.37578807
89.27834551,124.65,41.35686517,65.69621446
91.94844285,124.56,43.85831851,66.00412171
94.61854018,124.45,46.33987541,66.29316213
97.28863752,124.31,48.78668736,66.55743838
99.9684443,124.15,51.18390584,66.79105315
102.6385416,123.97,53.51668235,66.98810912
105.308639,123.77,55.77022564,67.14284883
107.9787363,123.55,57.93248174,67.25619997
110.6488337,123.3,59.99528024,67.33857497
113.3286404,123.04,61.95074604,67.40110755
115.9987378,122.75,63.7910041,67.45493144
118.6688351,122.44,65.50817933,67.51118036
121.3389324,122.11,67.09458256,67.58081017
124.0090298,121.75,68.54829984,67.66925089
126.6791271,121.37,69.87417351,67.77546795
129.3589339,120.98,71.07742954,67.89805976
132.0290312,120.56,72.1632939,68.03562471
134.6991286,120.11,73.13699255,68.18676117
137.3692259,119.65,74.00380803,68.35005558
140.0393233,119.17,74.77024654,68.52383537
142.7094206,118.68,75.44399639,68.7061778
145.3892274,118.18,76.03279415,68.8951499
148.0593247,117.67,76.54437639,69.08881872
150.729422,117.16,76.98647967,69.28525129
153.3995194,116.64,77.3668437,69.48251091
156.0696167,116.13,77.69325756,69.67860182
158.7494235,115.62,77.97354972,69.87148118
161.4195208,115.11,78.21554974,70.0591048
164.0896182,114.61,78.4270872,70.23942853
166.7597155,114.1,78.61599165,70.4104082
169.4298129,113.6,78.78979636,70.57009109
172.1096196,113.09,78.95250388,70.71761408
174.779717,112.58,79.1057972,70.85282992
177.4498143,112.07,79.25131876,70.97560387
180.1199116,111.54,79.39071099,71.08580117
182.790009,111.02,79.52561632,71.18328708
185.4601063,110.48,79.65756791,71.26796669
188.1399131,109.95,79.78709248,71.34011188
190.8100104,109.41,79.91417419,71.40019233
193.4801078,108.86,80.0387919,71.44867959
196.1502051,108.31,80.16092451,71.48604524
198.8203024,107.77,80.28055087,71.51276086
201.5001092,107.22,80.39768852,71.52927681
204.1702066,106.66,80.51263456,71.53589005
206.8403039,106.11,80.62580918,71.53282999
209.5104012,105.56,80.73763309,71.52032577
212.1804986,105,80.84852699,71.4986065
214.8505959,104.44,80.95891161,71.46790133
217.5304027,103.89,81.06917709,71.42852525
220.2005,103.33,81.17953786,71.38128738
222.8705974,102.78,81.2901456,71.32717317
225.5406947,102.24,81.40115191,71.26716829
228.210792,101.7,81.51270839,71.20225843
230.8905988,101.18,81.62496667,71.13342926
233.5606962,100.67,81.73807961,71.0616787
236.2307935,100.18,81.85220598,70.98806102
238.9008908,99.7,81.96750626,70.91364671
241.5709882,99.25,82.0841409,70.83950627
