t (ms),vlv (ml),plv (mmHg),pao (mmHg)
244.250795,98.81,82.20227036,70.76671018
246.9208923,98.38,82.3220551,70.69632895
249.5909896,97.95,82.44365415,70.62947846
252.261087,97.54,82.5672212,70.56744245
254.9311843,97.12,82.69290873,70.51154335
257.6012816,96.7,82.82086919,70.46310364
260.2810884,96.27,82.95125507,70.42344576
262.9511858,95.83,83.08421884,70.39389188
265.6212831,95.38,83.21991822,70.37537436
268.2913804,94.92,83.35852656,70.36766661
270.9614778,94.45,83.50022011,70.37032763
273.6412846,93.98,83.6451751,70.38291643
276.3113819,93.51,83.79356776,70.40499199
278.9814792,93.04,83.94557427,70.4361127
281.6515766,92.57,84.10134766,70.47564039
284.3216739,92.11,84.26098529,70.52246389
286.9917712,91.66,84.4245763,70.57540232
289.671578,91.22,84.59220985,70.63327479
292.3416754,90.79,84.7639751,70.69490043
295.0117727,90.37,84.93996202,70.75909837
297.68187,89.96,85.12036206,70.82469126
300.3519674,89.56,85.30556583,70.89050862
303.0317742,89.17,85.49598704,70.95538076
305.7018715,88.79,85.69203941,71.018138
308.3719688,88.41,85.89413668,71.07761064
311.0420662,88.04,86.10268311,71.13263405
313.7121635,87.67,86.3174549,71.18237761
316.3919703,87.31,86.53721884,71.22654764
319.0620676,86.96,86.76065049,71.26489894
321.732165,86.61,86.98642541,71.29718633
324.4022623,86.27,87.2132192,71.32316461
327.0723596,85.93,87.43969636,71.34259484
329.742457,85.61,87.66407382,71.35549081
332.4222638,85.28,87.88397628,71.3622007
335.0923611,84.96,88.09698783,71.36309564
337.7624584,84.65,88.30069253,71.35854675
340.4325558,84.33,88.49267442,71.34892517
343.1026531,84.02,88.67052139,71.33459952
345.7727504,83.71,88.83192434,71.31587019
348.4525572,83.4,88.97468664,71.29296309
351.1226546,83.09,89.0966174,71.26610037
353.7927519,82.79,89.19552569,71.23550417
356.4628492,82.5,89.26922059,71.20139664
359.1329466,82.23,89.3155123,71.16400144
361.8127534,81.97,89.33223237,71.12357152
364.4828507,81.73,89.31723159,71.08038625
367.152948,81.52,89.26836146,71.03472591
369.8230454,81.33,89.18347346,70.98687081
372.4931427,81.17,89.06041908,70.93710125
375.1729495,81.04,88.89703464,70.8856943
377.8430468,80.93,88.69094107,70.83288141
380.5131442,80.84,88.43959901,70.77886006
383.1832415,80.78,88.14046533,70.72382691
385.8533388,80.72,87.79099688,70.66797864
388.5234362,80.68,87.38865051,70.61151191
391.203243,80.65,86.93096585,70.55463829
393.8733403,80.63,86.41637921,70.49773066
396.5434376,80.61,85.84387567,70.44126062
399.213535,80.59,85.21244822,70.38570121
401.8836323,80.58,84.52108985,70.33152544
404.5634391,80.58,83.76879354,70.27920634
407.2335364,80.58,82.95400025,70.22911597
409.9036338,80.6,82.07049835,70.18077534
412.5737311,80.62,81.10974351,70.13327874
415.2438284,80.65,80.06317393,70.0857173
417.9139258,80.69,78.92222782,70.03718213
420.5937326,80.73,77.67834338,69.98676435
423.2638299,80.79,76.32178938,69.93326428
425.9339272,80.86,74.83505192,69.87354704
428.6040246,80.94,73.19743914,69.8036875
431.2741219,81.04,71.38824975,69.71975821
433.9539287,81.14,69.38678247,69.61783172
436.624026,81.26,67.17233601,69.49398055
439.2941234,81.39,64.7322598,69.34638238
441.9642207,81.54,62.09661756,69.18438386
444.634318,81.7,59.30958485,69.02102165
447.3141248,81.88,56.41534612,68.86933473
449.9842222,82.09,53.45808582,68.74236208
452.6543195,82.3,50.4819884,68.65314268
455.3244168,82.54,47.5278927,68.61284367
457.9945142,82.79,44.62241186,68.62467301
460.6646115,83.07,41.78837857,68.68972355
463.3444183,83.37,39.04862554,68.80908811
466.0145156,83.7,36.42598544,68.98385953
468.684613,84.06,33.94329016,69.21513015
471.3547103,84.45,31.61692796,69.50016525
474.0248076,84.87,29.44128835,69.82316424
476.694905,85.33,27.40607013,70.16554056
479.3747118,85.83,25.50097211,70.50870766
482.0448091,86.37,23.71569309,70.834079
484.7149064,86.94,22.0399342,71.12307613
487.3850038,87.54,20.46502367,71.36283701
490.0551011,88.17,18.98676858,71.55623458
492.7349079,88.82,17.60173995,71.70882575
495.4050052,89.49,16.30650883,71.82616741
498.0751026,90.19,15.09764624,71.91381646
500.7451999,90.9,13.97172247,71.97732821
503.4152972,91.62,12.92514675,72.02191857
506.095104,92.36,11.95396855,72.0520454
508.7652013,93.11,11.05418863,72.07206385
511.4352987,93.88,10.22180773,72.08632906
514.105396,94.65,9.452826595,72.0991962
516.7754934,95.43,8.743254043,72.11500159
519.4455907,96.21,8.089885091,72.13624938
522.1253975,96.99,7.490948949,72.16210136
524.7954948,97.76,6.944827361,72.19136385
527.4655922,98.53,6.449902073,72.22284318
530.1356895,99.29,6.004554828,72.25534567
532.8057868,100.03,5.607164156,72.28768468
535.4855936,100.77,5.255932465,72.31905851
538.1556909,101.49,4.948798405,72.34924203
540.8257883,102.19,4.683678979,72.37805738
543.4958856,102.88,4.458491192,72.40532673
546.165983,103.55,4.271152049,72.43087224
548.8360803,104.2,4.119579948,72.45451261
551.5158871,104.83,4.001741608,72.47594685
554.1859844,105.43,3.915663387,72.49472625
556.8560818,106,3.859375324,72.51039298
559.5261791,106.54,3.83090746,72.52248919
562.1962764,107.05,3.828289834,72.53055704
564.8760832,107.54,3.849552738,72.53414079
567.5461805,107.99,3.892732444,72.5328341
570.2162779,108.42,3.955871317,72.52628102
572.8863752,108.83,4.037011996,72.51412787
575.5564726,109.21,4.134197121,72.49602095
578.2362793,109.57,4.245469329,72.47160656
580.9063767,109.92,4.368866316,72.4405269
583.576474,110.24,4.502340908,72.4023532
586.2465714,110.55,4.643774537,72.35659703
588.9166687,110.84,4.791046411,72.30276813
591.586766,111.11,4.94203574,72.2403762
594.2665728,111.36,5.094621731,72.16893096
596.9366701,111.59,5.246713603,72.0879626
599.6067675,111.79,5.39660621,71.99726429
602.2768648,111.96,5.54286185,71.89681159
604.9469622,112.1,5.684048195,71.78658375
607.6267689,112.21,5.818732918,71.66655997
610.2968663,112.28,5.945483693,71.5367195
612.9669636,112.31,6.062988139,71.39712822
615.637061,112.3,6.171118161,71.24870759
618.3071583,112.26,6.270420509,71.0928666
620.9772556,112.2,6.361449773,70.93101991
623.6570624,112.12,6.444760545,70.76458219
626.3271597,112.03,6.520907417,70.59496809
628.9972571,111.93,6.590421114,70.42358421
631.6673544,111.83,6.653647917,70.25177486
634.3374518,111.74,6.710848174,70.08085532
637.0172585,111.66,6.762281755,69.91214071
639.6873559,111.59,6.808208528,69.74694614
642.3574532,111.53,6.848888361,69.58658674
645.0275505,111.49,6.884589481,69.43234001
647.6976479,111.45,6.915631309,69.28525312
650.3677452,111.42,6.942352647,69.14628599
653.047552,111.4,6.965092335,69.01639839
655.7176493,111.38,6.984189214,68.8965501
658.3877467,111.36,6.999982121,68.7877009
661.057844,111.34,7.012807035,68.6905259
663.7279414,111.32,7.022985917,68.60430653
666.4077481,111.31,7.030836449,68.52789838
669.0778455,111.3,7.03667631,68.46015689
671.7479428,111.29,7.040823178,68.39993752
674.4180401,111.29,7.043594734,68.34609574
677.0881375,111.3,7.045309618,68.29751817
679.7582348,111.32,7.046290253,68.25321378
682.4380416,111.34,7.046859987,68.2122216
685.1081389,111.37,7.04734217,68.17358064
687.7782363,111.42,7.048060151,68.13632993
690.4483336,111.47,7.049337279,68.09950849
693.118431,111.54,7.051496584,68.06218259
695.7982377,111.61,7.054860094,68.0235045
698.4683351,111.69,7.05974964,67.9826434
701.1384324,111.79,7.066487051,67.93876846
703.8085297,111.91,7.075394157,67.89104888
706.4786271,112.06,7.086792788,67.83865463
709.1584339,112.24,7.101004877,67.78109522
711.8285312,112.46,7.11835262,67.71874616
714.4986285,112.71,7.139158255,67.65211903
717.1687259,113.02,7.163744017,67.58172542
719.8388232,113.36,7.192432144,67.50807689
722.5089206,113.75,7.225544873,67.43168479
725.1887273,114.18,7.263404408,67.35302266
727.8588247,114.64,7.306332885,67.27248559
730.528922,115.14,7.354652432,67.19045893
733.1990193,115.66,7.408685178,67.10732804
735.8691167,116.2,7.468753249,67.02347826
738.5489235,116.76,7.535178774,66.9392951
741.2190208,117.34,7.608283891,66.85517581
743.8891181,117.94,7.688390757,66.77153761
746.5592155,118.54,7.775821526,66.68879967
749.2293128,119.16,7.870898358,66.60738115
751.8994102,119.78,7.973943409,66.52770121
754.5792169,120.4,8.085278836,66.45017894
757.2493143,121.02,8.205226793,66.37522983
759.9194116,121.64,8.33410943,66.30326442
762.5895089,122.24,8.472248896,66.23469283
765.2596063,122.83,8.619967341,66.16992522
767.9394131,123.39,8.777586913,66.10937174
770.6095104,123.93,8.945429762,66.05344255
773.2796077,124.45,9.123818039,66.00254884
775.9497051,124.95,9.313073895,65.95710295
778.6198024,125.42,9.51351948,65.91751727
781.2996092,125.86,9.725476947,65.88420421
783.9697065,126.24,9.949268446,65.85757616
786.6398039,126.57,10.18521613,65.83804552
789.3099012,126.82,10.43364215,65.82602469
791.9799985,127,10.69486865,65.82192608
794.6500959,127.08,10.96921779,65.82616206
797.3299027,127.07,11.25701172,65.83914506
800,126.95,11.5585726,65.86128746
