t (ms), vlv (ml), plv (mmHg), part (mmHg)
0.000000000000000000e+00,5.299961964999999964e+01,1.166019155999999946e+01,8.032583649999999409e+01
1.632653061224489832e+01,5.423968065999999766e+01,1.848832519000000119e+01,7.781354437000000246e+01
3.265306122448979664e+01,5.358507520999999940e+01,3.175951956999999837e+01,7.563171708999999510e+01
4.897959183673468431e+01,5.108175035000000008e+01,4.711205959000000121e+01,7.387709492999999839e+01
6.530612244897959329e+01,4.692819597999999814e+01,6.072875782999999927e+01,7.264539259000000015e+01
8.163265306122448806e+01,4.211905928000000188e+01,7.162722793999999737e+01,7.202671256000000710e+01
9.795918367346936861e+01,3.784102409999999850e+01,7.974998204000000612e+01,7.210924703999999963e+01
1.142857142857142776e+02,3.501139459000000187e+01,8.511192452000000230e+01,7.295678205000000105e+01
1.306122448979591866e+02,3.342222706999999815e+01,8.816785955999999658e+01,7.448368917999999894e+01
1.469387755102040956e+02,3.243836926000000176e+01,8.953999278999999945e+01,7.654775152000000560e+01
1.632653061224489761e+02,3.148657859000000059e+01,8.985088439999999821e+01,7.900664290000000278e+01
1.795918367346938567e+02,3.045845382999999984e+01,8.972309452999999735e+01,8.171803712000000530e+01
1.959183673469387372e+02,2.945503032999999959e+01,8.977918336000000465e+01,8.453960798999999326e+01
2.122448979591836462e+02,2.857041879000000151e+01,9.057719276999999636e+01,8.733656482000000665e+01
2.285714285714285552e+02,2.782885081999999954e+01,9.211172324999999717e+01,9.004067962999999963e+01
2.448979591836734642e+02,2.721825454000000022e+01,9.408549917000000562e+01,9.261848363000000006e+01
2.612244897959183731e+02,2.672624108999999848e+01,9.619872725999999830e+01,9.503681385999999520e+01
2.775510204081632537e+02,2.634042163000000158e+01,9.815161421000000530e+01,9.726250731999999743e+01
2.938775510204081911e+02,2.604840732999999986e+01,9.964436675000000321e+01,9.926240104999999403e+01
3.102040816326530148e+02,2.583780933999999974e+01,1.004060718000000065e+02,1.010033320999999944e+02
3.265306122448979522e+02,2.569623882000000137e+01,1.005480620000000016e+02,1.024521373999999980e+02
3.428571428571427759e+02,2.561130693000000136e+01,1.004531733000000031e+02,1.035756540000000001e+02
3.591836734693877133e+02,2.557062481999999903e+01,1.004118244000000004e+02,1.043407190000000071e+02
3.755102040816326507e+02,2.556180365999999893e+01,9.910287968000000092e+01,1.047141694000000030e+02
3.918367346938774745e+02,2.557245460000000037e+01,9.388607605999999350e+01,1.046628421000000060e+02
4.081632653061224687e+02,2.559218416999999945e+01,8.224668069000000514e+01,1.041560115000000053e+02
4.244897959183672924e+02,2.565227443999999934e+01,6.505237356000000659e+01,1.032144670999999931e+02
4.408163265306121730e+02,2.582353579000000110e+01,4.641956828000000002e+01,1.019082236999999935e+02
4.571428571428571104e+02,2.617934991999999994e+01,3.077539767000000026e+01,1.003092742999999984e+02
4.734693877551020478e+02,2.681922004999999842e+01,2.001324534000000099e+01,9.848961176999999623e+01
4.897959183673469283e+02,2.787053900000000084e+01,1.308880498000000081e+01,9.652122898000000362e+01
5.061224489795917520e+02,2.945855471000000136e+01,8.808565249999999125e+00,9.447611883999999804e+01
5.224489795918367463e+02,3.157543886999999927e+01,6.325699679000000408e+00,9.242627425000000585e+01
5.387755102040815700e+02,3.404208188999999862e+01,5.245745235000000228e+00,9.044368810999999653e+01
5.551020408163265074e+02,3.666806598000000150e+01,5.204722624999999603e+00,8.860035331000000269e+01
5.714285714285713311e+02,3.926297335999999660e+01,5.838652554000000272e+00,8.696826274000000012e+01
5.877551020408163822e+02,4.163638626000000187e+01,6.783555727999999618e+00,8.561940930000000094e+01
6.040816326530612059e+02,4.359909129999999777e+01,7.677223578999999631e+00,8.462523430999999619e+01
6.204081632653060296e+02,4.506228761999999932e+01,8.304868291000000013e+00,8.400442092999999488e+01
6.367346938775509670e+02,4.611186458000000243e+01,8.708080182999999863e+00,8.367945113000000390e+01
6.530612244897959044e+02,4.685123092999999983e+01,8.954151271000000634e+00,8.356254010000000676e+01
6.693877551020407282e+02,4.738379547000000258e+01,9.110373570000000143e+00,8.356590301999999326e+01
6.857142857142855519e+02,4.781296695999999713e+01,9.244039098000000010e+00,8.360175504999999418e+01
7.020408163265306030e+02,4.824215420000000165e+01,9.422439867999999663e+00,8.358231139000000098e+01
7.183673469387754267e+02,4.877476595000000259e+01,9.712867898000000721e+00,8.341978720999999553e+01
7.346938775510203641e+02,4.951421100000000308e+01,1.018261520000000075e+01,8.302639768000000231e+01
7.510204081632653015e+02,5.056389812999999833e+01,1.089897380000000027e+01,8.231435799999999858e+01
7.673469387755101252e+02,5.202723610999999693e+01,1.192923569999999955e+01,8.119588331999999298e+01
7.836734693877549489e+02,5.400763372000000118e+01,1.334069292000000040e+01,7.958318884999999909e+01
8.000000000000000000e+02,5.660849975000000001e+01,1.520063747999999926e+01,7.738848973999999714e+01
